Borough,Year,Week,NumberAccidents,NumberLethalAccidents,sum(NumberInjured),sum(NumberKilled),AvgNumberLethalAccidents
BOROUGH_NOT_SPECIFIED,2013,8,756,1,378,2,0.0013227513227513227
BRONX,2013,8,341,0,224,0,0.0
BROOKLYN,2013,8,769,2,474,4,0.002600780234070221
MANHATTAN,2013,8,703,1,258,2,0.001422475106685633
QUEENS,2013,8,614,2,264,4,0.003257328990228013
STATEN ISLAND,2013,8,178,0,58,0,0.0
BOROUGH_NOT_SPECIFIED,2013,9,892,3,428,6,0.0033632286995515697
BRONX,2013,9,371,1,262,2,0.0026954177897574125
BROOKLYN,2013,9,841,2,496,8,0.0023781212841854932
MANHATTAN,2013,9,745,1,244,2,0.0013422818791946308
QUEENS,2013,9,654,1,362,2,0.0015290519877675841
STATEN ISLAND,2013,9,170,0,86,0,0.0
BOROUGH_NOT_SPECIFIED,2013,10,830,0,404,0,0.0
BRONX,2013,10,453,0,242,0,0.0
BROOKLYN,2013,10,923,2,570,4,0.0021668472372697724
MANHATTAN,2013,10,759,2,256,4,0.002635046113306983
QUEENS,2013,10,789,1,418,2,0.0012674271229404308
STATEN ISLAND,2013,10,215,0,112,0,0.0
BOROUGH_NOT_SPECIFIED,2013,11,853,4,376,8,0.004689331770222743
BRONX,2013,11,412,1,198,2,0.0024271844660194173
BROOKLYN,2013,11,862,0,524,0,0.0
MANHATTAN,2013,11,798,0,284,0,0.0
QUEENS,2013,11,718,1,394,2,0.001392757660167131
STATEN ISLAND,2013,11,172,0,78,0,0.0
BOROUGH_NOT_SPECIFIED,2013,12,894,1,484,2,0.0011185682326621924
BRONX,2013,12,396,0,190,0,0.0
BROOKLYN,2013,12,812,1,506,2,0.0012315270935960591
MANHATTAN,2013,12,724,0,240,0,0.0
QUEENS,2013,12,747,1,308,2,0.0013386880856760374
STATEN ISLAND,2013,12,199,0,124,0,0.0
BOROUGH_NOT_SPECIFIED,2013,13,726,3,430,6,0.004132231404958678
BRONX,2013,13,330,0,186,0,0.0
BROOKLYN,2013,13,735,0,428,0,0.0
MANHATTAN,2013,13,697,0,284,0,0.0
QUEENS,2013,13,740,0,474,0,0.0
STATEN ISLAND,2013,13,144,0,54,0,0.0
BOROUGH_NOT_SPECIFIED,2013,14,806,1,418,4,0.0012406947890818859
BRONX,2013,14,346,0,270,0,0.0
BROOKLYN,2013,14,821,3,552,6,0.0036540803897685747
MANHATTAN,2013,14,745,1,216,2,0.0013422818791946308
QUEENS,2013,14,688,1,308,2,0.0014534883720930232
STATEN ISLAND,2013,14,171,0,108,0,0.0
BOROUGH_NOT_SPECIFIED,2013,15,866,1,444,2,0.0011547344110854503
BRONX,2013,15,379,0,246,0,0.0
BROOKLYN,2013,15,953,0,668,0,0.0
MANHATTAN,2013,15,820,0,316,0,0.0
QUEENS,2013,15,763,0,434,0,0.0
STATEN ISLAND,2013,15,187,0,104,0,0.0
BOROUGH_NOT_SPECIFIED,2013,16,908,0,450,0,0.0
BRONX,2013,16,399,0,206,0,0.0
BROOKLYN,2013,16,881,1,562,2,0.0011350737797956867
MANHATTAN,2013,16,781,1,336,2,0.0012804097311139564
QUEENS,2013,16,702,1,426,2,0.0014245014245014246
STATEN ISLAND,2013,16,157,0,72,0,0.0
BOROUGH_NOT_SPECIFIED,2013,17,926,1,494,2,0.0010799136069114472
BRONX,2013,17,377,0,240,0,0.0
BROOKLYN,2013,17,910,1,596,2,0.001098901098901099
MANHATTAN,2013,17,772,0,280,0,0.0
QUEENS,2013,17,731,1,452,2,0.0013679890560875513
STATEN ISLAND,2013,17,175,0,104,0,0.0
BOROUGH_NOT_SPECIFIED,2013,18,893,1,534,2,0.0011198208286674132
BRONX,2013,18,369,0,230,0,0.0
BROOKLYN,2013,18,979,0,672,0,0.0
MANHATTAN,2013,18,854,1,298,2,0.00117096018735363
QUEENS,2013,18,789,1,452,2,0.0012674271229404308
STATEN ISLAND,2013,18,231,0,132,0,0.0
BOROUGH_NOT_SPECIFIED,2013,19,945,1,490,2,0.0010582010582010583
BRONX,2013,19,388,1,246,2,0.002577319587628866
BROOKLYN,2013,19,1018,1,710,2,9.823182711198428E-4
MANHATTAN,2013,19,849,0,320,0,0.0
QUEENS,2013,19,725,1,480,2,0.001379310344827586
STATEN ISLAND,2013,19,198,0,102,0,0.0
BOROUGH_NOT_SPECIFIED,2013,20,901,1,404,2,0.0011098779134295228
BRONX,2013,20,426,2,326,4,0.004694835680751174
BROOKLYN,2013,20,879,1,474,2,0.0011376564277588168
MANHATTAN,2013,20,839,0,274,0,0.0
QUEENS,2013,20,792,2,392,4,0.0025252525252525255
STATEN ISLAND,2013,20,185,0,64,0,0.0
BOROUGH_NOT_SPECIFIED,2013,21,941,1,566,2,0.0010626992561105207
BRONX,2013,21,403,1,178,2,0.0024813895781637717
BROOKLYN,2013,21,989,0,718,0,0.0
MANHATTAN,2013,21,923,0,316,0,0.0
QUEENS,2013,21,834,0,518,0,0.0
STATEN ISLAND,2013,21,206,0,92,0,0.0
BOROUGH_NOT_SPECIFIED,2013,22,942,0,604,0,0.0
BRONX,2013,22,433,0,282,0,0.0
BROOKLYN,2013,22,999,2,608,4,0.002002002002002002
MANHATTAN,2013,22,829,1,242,2,0.0012062726176115801
QUEENS,2013,22,798,1,410,2,0.0012531328320802004
STATEN ISLAND,2013,22,218,0,110,0,0.0
BOROUGH_NOT_SPECIFIED,2013,23,1038,0,638,0,0.0
BRONX,2013,23,451,0,272,0,0.0
BROOKLYN,2013,23,1023,0,668,0,0.0
MANHATTAN,2013,23,874,3,354,6,0.003432494279176201
QUEENS,2013,23,830,0,478,0,0.0
STATEN ISLAND,2013,23,202,0,124,0,0.0
BOROUGH_NOT_SPECIFIED,2013,24,940,3,538,6,0.0031914893617021275
BRONX,2013,24,419,3,252,6,0.007159904534606206
BROOKLYN,2013,24,982,3,686,6,0.003054989816700611
MANHATTAN,2013,24,872,0,366,0,0.0
QUEENS,2013,24,764,1,386,2,0.0013089005235602095
STATEN ISLAND,2013,24,196,0,96,0,0.0
BOROUGH_NOT_SPECIFIED,2013,25,994,3,586,6,0.0030181086519114686
BRONX,2013,25,375,0,280,0,0.0
BROOKLYN,2013,25,1084,0,700,0,0.0
MANHATTAN,2013,25,871,0,318,0,0.0
QUEENS,2013,25,768,0,452,0,0.0
STATEN ISLAND,2013,25,231,0,120,0,0.0
BOROUGH_NOT_SPECIFIED,2013,26,933,3,434,8,0.003215434083601286
BRONX,2013,26,393,1,276,2,0.002544529262086514
BROOKLYN,2013,26,955,0,692,0,0.0
MANHATTAN,2013,26,909,1,290,2,0.0011001100110011
QUEENS,2013,26,772,0,466,0,0.0
STATEN ISLAND,2013,26,206,0,126,0,0.0
BOROUGH_NOT_SPECIFIED,2013,27,937,2,532,4,0.0021344717182497333
BRONX,2013,27,422,0,294,0,0.0
BROOKLYN,2013,27,939,2,696,4,0.002129925452609159
MANHATTAN,2013,27,715,1,286,2,0.0013986013986013986
QUEENS,2013,27,736,1,402,2,0.001358695652173913
STATEN ISLAND,2013,27,122,0,110,0,0.0
BOROUGH_NOT_SPECIFIED,2013,28,996,0,502,0,0.0
BRONX,2013,28,404,1,252,2,0.0024752475247524753
BROOKLYN,2013,28,901,1,558,2,0.0011098779134295228
MANHATTAN,2013,28,823,0,338,0,0.0
QUEENS,2013,28,746,1,404,2,0.0013404825737265416
STATEN ISLAND,2013,28,137,0,64,0,0.0
BOROUGH_NOT_SPECIFIED,2013,29,1014,1,532,2,9.861932938856016E-4
BRONX,2013,29,389,0,308,0,0.0
BROOKLYN,2013,29,921,0,674,0,0.0
MANHATTAN,2013,29,827,0,316,0,0.0
QUEENS,2013,29,838,1,462,2,0.0011933174224343676
STATEN ISLAND,2013,29,114,0,76,0,0.0
BOROUGH_NOT_SPECIFIED,2013,30,920,1,628,2,0.0010869565217391304
BRONX,2013,30,355,1,232,2,0.0028169014084507044
BROOKLYN,2013,30,851,3,716,6,0.0035252643948296123
MANHATTAN,2013,30,857,1,314,2,0.0011668611435239206
